ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
-6644.681888184773,-6790.594075989017,-6782.0110061181795,-6794.505631268697,-93404.9449449712,-90313.02813446858,-72325.32767359349,-106193.80845949751,-6985.434232405929,-7041.850035411124,-6627.582803676463,-6943.904691207968,-94065.21547618098,-95293.95792412257,-45474.26646641093,-50031.56364340349
-6729.99849677068,-7012.546898430217,-6757.401735472887,-6850.742620318249,-93256.79758272142,-90399.39527504389,-72300.42783027027,-106310.28339985412,-6800.004160404702,-6804.832137207048,-7416.197051548607,-6780.356977028487,-93669.47784059976,-94653.06635535555,-44741.509227932605,-49993.40921561828
-6630.64499266684,-6863.751335591238,-6786.548410242607,-6835.454027110819,-93348.61854894384,-90354.33415822199,-72320.03031015758,-106253.53232068209,-7012.6363054080375,-7046.812122680202,-6621.123149528879,-6945.178740641921,-94072.41273789559,-95316.89081393371,-45495.92530678813,-50030.28959396954
-6729.864386303948,-6932.482949791307,-6750.2491772471885,-6813.191689633333,-93308.49716764655,-90367.834611873,-72301.81363842651,-106254.71696313823,-6773.718508925261,-6802.284038339143,-7403.367150231261,-6783.732090441238,-93669.81311676659,-94646.83021865253,-44733.104972017405,-49995.21970691916
-6630.60028917793,-6944.687002263904,-6794.885610924436,-6877.005920053234,-93298.3718274083,-90393.24854531868,-72320.38793806886,-106313.36794058896,-7027.924898615468,-7043.079381356166,-6636.836425880961,-6945.268147619742,-94067.02596748185,-95319.30480233488,-45490.96321951905,-50030.53546315855
-6736.793427085094,-6855.235320953766,-6745.197683000289,-6771.595093202007,-93364.13065959582,-90325.50040787464,-72306.68631871777,-106194.59077055345,-6769.874008878948,-6815.918602456881,-7384.569333144347,-6788.224791076755,-93685.9063727744,-94653.6922042003,-44755.1661437948,-50000.293552910516
-6625.369980975388,-7020.6158781785825,-6798.506593526196,-6916.277935061209,-93243.8112191929,-90434.42045860535,-72315.87288568889,-106371.75069710621,-7027.902546871012,-7025.287392769742,-6669.045289641058,-6937.288574849198,-94044.29424337081,-95300.52933699243,-45456.250960379955,-50024.92517530027
-6741.911976565359,-6783.2403520632215,-6742.582528899018,-6734.021810772635,-93417.48427361064,-90285.28961959954,-72312.65423448733,-106139.13609255983,-6775.573703715051,-6838.225643423277,-7341.743390767979,-6798.73011097075,-93715.23186149978,-94682.83887897003,-44802.50713855113,-50007.200241947205
-6616.272820982078,-7082.999596953345,-6793.946837657313,-6944.664650519449,-93187.35071269878,-90466.87519155446,-72304.47349601668,-106417.90704940642,-7016.011418820789,-6998.1970784899095,-6721.594240855485,-6922.826996186614,-94007.81619641975,-95259.29036847239,-45396.10241605072,-50016.34210542943
-6739.721505608739,-6716.587450097496,-6737.933366052314,-6699.018978955624,-93460.66784389828,-90246.37523250285,-72314.93411242178,-106088.21881869064,-6782.659206707383,-6859.482152400274,-7270.016642810899,-6806.1955936188215,-93748.04422236017,-94724.56958586807,-44863.88502882541,-50007.51316636958
